period_start_day,value
2010-01-01,149513.737
2010-04-01,127848.68
2010-07-01,118262.109
2010-10-01,147422.057
2011-01-01,146989.314
2011-04-01,120713.955
2011-07-01,112653.773
2011-10-01,137826.603
2012-01-01,146916.09
2012-04-01,122464.389
2012-07-01,113898.998
2012-10-01,136857.163
2013-01-01,146237.445
2013-04-01,122824.725
2013-07-01,112911.77
2013-10-01,134928.741
2014-01-01,131409.744
2014-04-01,115433.865
2014-07-01,107692.812
2014-10-01,128616.628
2015-01-01,136184.72
2015-04-01,113693.795
2015-07-01,107963.116
2015-10-01,127767.091
2016-01-01,130899.504
2016-04-01,115224.698
2016-07-01,107183.246
2016-10-01,132687.92
2017-01-01,135211.934
2017-04-01,116055.089
2017-07-01,109810.739
2017-10-01,132435.778
2018-01-01,133176.015
2018-04-01,111244.133
2018-07-01,106767.957
2018-10-01,125820.108
2019-01-01,127188.932
2019-04-01,112999.095
2019-07-01,105181.025
2019-10-01,121457.899
2020-01-01,118374.304
2020-04-01,86795.105
2020-07-01,98821.931
2020-10-01,115142.76
2021-01-01,117944.204
2021-04-01,105911.803
2021-07-01,100129.793
2021-10-01,119484.965
2022-01-01,119084.177
2022-04-01,105803.47
2022-07-01,100589.35
2022-10-01,113256.821
2023-01-01,116907.226
2023-04-01,103189.566
2023-07-01,96180.743
2023-10-01,110266.304
2024-01-01,113038.919
