period_start_day,value
2010-01-01,134232.91259835698
2010-04-01,135994.285460979
2010-07-01,134467.61123232
2010-10-01,138436.975496914
2011-01-01,131632.263742561
2011-04-01,128871.387828287
2011-07-01,128633.83748043599
2011-10-01,129114.77221807699
2012-01-01,131698.488828015
2012-04-01,130454.82533798301
2012-07-01,129443.16773303699
2012-10-01,128532.14055973
2013-01-01,131390.718049383
2013-04-01,130622.003505709
2013-07-01,127829.45227311699
2013-10-01,126769.419644001
2014-01-01,117439.8184299
2014-04-01,122825.12182978401
2014-07-01,122052.119235184
2014-10-01,120477.488003575
2015-01-01,123017.632819735
2015-04-01,120889.42691529
2015-07-01,121874.365355643
2015-10-01,119292.33766278
2016-01-01,118782.162328873
2016-04-01,122055.145331881
2016-07-01,120776.38372510199
2016-10-01,123970.98228696099
2017-01-01,123924.837230826
2017-04-01,122718.97388863699
2017-07-01,122789.674294131
2017-10-01,123659.600271824
2018-01-01,122970.23595183401
2018-04-01,117457.898685465
2018-07-01,118889.935586144
2018-10-01,117495.547326964
2019-01-01,117871.99380760801
2019-04-01,118656.79935826099
2019-07-01,116518.434753204
2019-10-01,113631.184980846
2020-01-01,109850.14217094
2020-04-01,91852.79557106699
2020-07-01,109577.540421479
2020-10-01,107898.45248524401
2021-01-01,109746.114471631
2021-04-01,110578.98040946301
2021-07-01,110592.002489914
2021-10-01,112639.585280851
2022-01-01,110957.49121046401
2022-04-01,110351.140405035
2022-07-01,110693.22107793199
2022-10-01,106956.67067983099
2023-01-01,108599.47326335801
2023-04-01,107677.524393734
2023-07-01,106119.734513026
2023-10-01,104292.292262255
2024-01-01,104604.52808956301
